program_id,task_id,pattern_label,consensus_source,claude_confidence,codex_confidence
43899768,abc311_g,prefix_sums,claude-codex-blinded-agreement,low,medium
46028780,abc312_c,binary_search,claude-codex-blinded-agreement,high,high
52032093,abc312_d,dynamic_programming,claude-codex-blinded-agreement,high,high
46134579,abc313_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
45979954,abc314_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
45808089,abc314_e,dynamic_programming,claude-codex-blinded-agreement,high,high
45264890,abc314_g,outside_vocabulary,claude-codex-blinded-agreement,low,high
46043300,abc315_f,dynamic_programming,claude-codex-blinded-agreement,high,high
46240679,abc317_f,dynamic_programming,claude-codex-blinded-agreement,high,high
55010802,abc320_c,brute_force_implementation,claude-codex-blinded-agreement,medium,high
54919763,abc320_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
50314783,abc321_f,dynamic_programming,claude-codex-blinded-agreement,high,high
46196763,abc322_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
46190250,abc322_d,brute_force_implementation,claude-codex-blinded-agreement,high,high
53004931,abc322_e,dynamic_programming,claude-codex-blinded-agreement,high,high
54930796,abc323_c,greedy,claude-codex-blinded-agreement,high,high
47205844,abc325_f,dynamic_programming,claude-codex-blinded-agreement,high,high
54454360,abc326_c,sliding_window,claude-codex-blinded-agreement,high,high
52796362,abc326_d,brute_force_implementation,claude-codex-blinded-agreement,high,high
55003503,abc327_c,brute_force_implementation,claude-codex-blinded-agreement,medium,high
54743139,abc328_b,brute_force_implementation,claude-codex-blinded-agreement,high,high
48207650,abc330_f,binary_search,claude-codex-blinded-agreement,high,high
54711529,abc332_c,simulation,claude-codex-blinded-agreement,high,high
54467069,abc333_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
55003175,abc334_c,prefix_sums,claude-codex-blinded-agreement,high,high
55029036,abc335_e,dynamic_programming,claude-codex-blinded-agreement,medium,medium
54308671,abc337_d,sliding_window,claude-codex-blinded-agreement,high,high
49855272,abc337_f,sliding_window,claude-codex-blinded-agreement,high,high
54041010,abc338_e,intervals,claude-codex-blinded-agreement,medium,high
54672032,abc339_b,simulation,claude-codex-blinded-agreement,high,high
53281757,abc339_f,hash_map_counting,claude-codex-blinded-agreement,medium,high
53927639,abc341_d,binary_search,claude-codex-blinded-agreement,high,high
50668241,abc342_g,outside_vocabulary,claude-codex-blinded-agreement,high,high
54978258,abc343_c,brute_force_implementation,claude-codex-blinded-agreement,medium,high
54461819,abc345_d,brute_force_implementation,claude-codex-blinded-agreement,medium,high
52899692,abc345_e,dynamic_programming,claude-codex-blinded-agreement,high,high
55019091,abc346_b,sliding_window,claude-codex-blinded-agreement,high,high
54740445,abc346_d,dynamic_programming,claude-codex-blinded-agreement,high,high
53286789,abc346_f,binary_search,claude-codex-blinded-agreement,high,high
52760025,abc347_f,prefix_sums,claude-codex-blinded-agreement,medium,high
54918141,abc349_b,sorting_based,claude-codex-blinded-agreement,medium,medium
53462819,abc349_f,dynamic_programming,claude-codex-blinded-agreement,high,high
54968121,abc351_c,simulation,claude-codex-blinded-agreement,medium,high
54769975,abc355_d,intervals,claude-codex-blinded-agreement,high,high
54957150,abc356_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
55144138,abc356_c,brute_force_implementation,claude-codex-blinded-agreement,high,high
55140371,abc360_e,dynamic_programming,claude-codex-blinded-agreement,low,medium
34050152,agc058_b,dynamic_programming,claude-codex-blinded-agreement,high,high
37547592,agc060_b,greedy,claude-codex-blinded-agreement,low,medium
38852158,agc061_a,outside_vocabulary,claude-codex-blinded-agreement,medium,high
41610915,agc062_c,intervals,claude-codex-blinded-agreement,high,high
40706832,arc128_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
27510550,arc128_e,greedy,claude-codex-blinded-agreement,low,high
27576444,arc130_f,outside_vocabulary,claude-codex-blinded-agreement,medium,high
44219174,arc132_b,brute_force_implementation,claude-codex-blinded-agreement,low,medium
44249322,arc133_d,dynamic_programming,claude-codex-blinded-agreement,high,high
43694743,arc135_a,dynamic_programming,claude-codex-blinded-agreement,high,high
29324173,arc135_d,greedy,claude-codex-blinded-agreement,medium,medium
36890038,arc136_b,outside_vocabulary,claude-codex-blinded-agreement,low,high
44650081,arc137_b,dynamic_programming,claude-codex-blinded-agreement,low,medium
43171788,arc138_a,binary_search,claude-codex-blinded-agreement,medium,high
39342455,arc139_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
31456138,arc139_c,brute_force_implementation,claude-codex-blinded-agreement,low,medium
31727307,arc140_d,dynamic_programming,claude-codex-blinded-agreement,medium,high
38039113,arc141_b,dynamic_programming,claude-codex-blinded-agreement,high,high
39176273,arc144_a,greedy,claude-codex-blinded-agreement,medium,high
41927392,arc144_b,binary_search,claude-codex-blinded-agreement,high,high
41500955,arc146_b,greedy,claude-codex-blinded-agreement,medium,high
43234248,arc148_b,brute_force_implementation,claude-codex-blinded-agreement,medium,high
43012792,arc149_a,brute_force_implementation,claude-codex-blinded-agreement,medium,high
44901492,arc151_a,greedy,claude-codex-blinded-agreement,medium,high
37067201,arc152_b,binary_search,claude-codex-blinded-agreement,high,high
43165491,arc153_b,simulation,claude-codex-blinded-agreement,medium,high
43019650,arc157_a,brute_force_implementation,claude-codex-blinded-agreement,medium,high
42828291,arc157_b,greedy,claude-codex-blinded-agreement,high,high
39194356,arc157_d,prefix_sums,claude-codex-blinded-agreement,medium,high
39201856,arc157_e,dynamic_programming,claude-codex-blinded-agreement,high,high
41991860,arc159_a,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
45431609,arc159_b,outside_vocabulary,claude-codex-blinded-agreement,low,high
40431476,arc159_d,outside_vocabulary,claude-codex-blinded-agreement,high,high
43405529,arc160_a,outside_vocabulary,claude-codex-blinded-agreement,low,high
45802611,arc162_c,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
43944210,arc163_b,sorting_based,claude-codex-blinded-agreement,medium,high
43438224,arc164_e,dynamic_programming,claude-codex-blinded-agreement,high,high
50502972,arc167_b,outside_vocabulary,claude-codex-blinded-agreement,low,high
54960940,arc170_a,greedy,claude-codex-blinded-agreement,low,high
50018799,arc171_d,dynamic_programming,claude-codex-blinded-agreement,high,high
50474956,arc172_b,brute_force_implementation,claude-codex-blinded-agreement,low,high
54010856,arc173_a,binary_search,claude-codex-blinded-agreement,high,high
51134374,arc173_e,outside_vocabulary,claude-codex-blinded-agreement,medium,high
54196806,arc174_a,dynamic_programming,claude-codex-blinded-agreement,low,medium
51898575,arc175_a,simulation,claude-codex-blinded-agreement,medium,high
53001483,arc175_c,intervals,claude-codex-blinded-agreement,medium,medium
53706270,arc177_a,greedy,claude-codex-blinded-agreement,high,high
53680716,arc178_d,dynamic_programming,claude-codex-blinded-agreement,high,high
55021276,arc180_c,dynamic_programming,claude-codex-blinded-agreement,high,high
