program_id,task_id,buggy_source_path,fixed_source_path,tests_path,faulty_lines,pattern_label,pattern_source,pattern_confidence,loc,evaluation_denominator,selection_rank,sampling_seed,selection_frozen_at
26708943,arc128_d,../raw/26708943/buggy.py,../raw/26708943/fixed.py,../raw/26708943/tests.json,[12],dynamic_programming,AST rule,high,33,33,12,20260910,2026-09-10T16:25:57.314444+00:00
33361937,abc260_g,../raw/33361937/buggy.py,../raw/33361937/fixed.py,../raw/33361937/tests.json,[40],dynamic_programming,AST rule,high,61,61,13,20260910,2026-09-10T16:25:57.314444+00:00
40275095,abc296_h,../raw/40275095/buggy.py,../raw/40275095/fixed.py,../raw/40275095/tests.json,[115],dynamic_programming,AST rule,high,170,170,14,20260910,2026-09-10T16:25:57.314444+00:00
40872561,abc299_f,../raw/40872561/buggy.py,../raw/40872561/fixed.py,../raw/40872561/tests.json,[41],dynamic_programming,AST rule,high,41,41,15,20260910,2026-09-10T16:25:57.314444+00:00
52760025,abc347_f,../raw/52760025/buggy.py,../raw/52760025/fixed.py,../raw/52760025/tests.json,[93],dynamic_programming,AST rule,high,142,142,16,20260910,2026-09-10T16:25:57.314444+00:00
41991860,arc159_a,../raw/41991860/buggy.py,../raw/41991860/fixed.py,../raw/41991860/tests.json,[23],graph_traversal_dfs_bfs,AST rule,high,29,29,17,20260910,2026-09-10T16:25:57.314444+00:00
46165455,abc247_d,../raw/46165455/buggy.py,../raw/46165455/fixed.py,../raw/46165455/tests.json,[57],graph_traversal_dfs_bfs,AST rule,high,59,59,18,20260910,2026-09-10T16:25:57.314444+00:00
54968121,abc351_c,../raw/54968121/buggy.py,../raw/54968121/fixed.py,../raw/54968121/tests.json,[29],graph_traversal_dfs_bfs,AST rule,high,38,38,19,20260910,2026-09-10T16:25:57.314444+00:00
45983434,abc248_d,../raw/45983434/buggy.py,../raw/45983434/fixed.py,../raw/45983434/tests.json,[33],graph_traversal_dfs_bfs,AST rule,high,33,33,20,20260910,2026-09-10T16:25:57.314444+00:00
54311444,abc355_e,../raw/54311444/buggy.py,../raw/54311444/fixed.py,../raw/54311444/tests.json,[121],graph_traversal_dfs_bfs,AST rule,high,164,164,21,20260910,2026-09-10T16:25:57.314444+00:00
40407040,arc140_b,../raw/40407040/buggy.py,../raw/40407040/fixed.py,../raw/40407040/tests.json,[25],graph_traversal_dfs_bfs,AST rule,high,70,70,22,20260910,2026-09-10T16:25:57.314444+00:00
52926276,abc317_e,../raw/52926276/buggy.py,../raw/52926276/fixed.py,../raw/52926276/tests.json,[70],graph_traversal_dfs_bfs,AST rule,high,88,88,23,20260910,2026-09-10T16:25:57.314444+00:00
43012792,arc149_a,../raw/43012792/buggy.py,../raw/43012792/fixed.py,../raw/43012792/tests.json,[19],binary_search,AST rule,high,30,30,24,20260910,2026-09-10T16:25:57.314444+00:00
45556032,arc164_a,../raw/45556032/buggy.py,../raw/45556032/fixed.py,../raw/45556032/tests.json,[31],binary_search,AST rule,high,40,40,25,20260910,2026-09-10T16:25:57.314444+00:00
37116120,agc059_a,../raw/37116120/buggy.py,../raw/37116120/fixed.py,../raw/37116120/tests.json,[124],binary_search,AST rule,high,132,132,26,20260910,2026-09-10T16:25:57.314444+00:00
45966660,abc265_d,../raw/45966660/buggy.py,../raw/45966660/fixed.py,../raw/45966660/tests.json,[43],binary_search,AST rule,high,54,54,27,20260910,2026-09-10T16:25:57.314444+00:00
43171788,arc138_a,../raw/43171788/buggy.py,../raw/43171788/fixed.py,../raw/43171788/tests.json,[25],binary_search,AST rule,high,25,25,28,20260910,2026-09-10T16:25:57.314444+00:00
36030496,arc134_d,../raw/36030496/buggy.py,../raw/36030496/fixed.py,../raw/36030496/tests.json,[16],binary_search,AST rule,high,47,47,29,20260910,2026-09-10T16:25:57.314444+00:00
42045718,arc158_b,../raw/42045718/buggy.py,../raw/42045718/fixed.py,../raw/42045718/tests.json,[21],binary_search,AST rule,high,25,25,30,20260910,2026-09-10T16:25:57.314444+00:00
