program_id,task_id,buggy_source_path,fixed_source_path,tests_path,faulty_lines,pattern_label,pattern_source,claude_confidence,codex_confidence,loc,difficulty,inclusion_status,evaluation_denominator,selection_rank,sampling_seed,selection_frozen_at
45289055,abc257_a,../raw/v2_2/45289055/buggy.py,../raw/v2_2/45289055/fixed.py,../raw/v2_2/45289055/tests.json,[40],brute_force_implementation,model-consensus,medium,high,44,22,included,44,11,20260910,2026-09-12T18:18:44.770989+00:00
55003503,abc327_c,../raw/v2_2/55003503/buggy.py,../raw/v2_2/55003503/fixed.py,../raw/v2_2/55003503/tests.json,[22],brute_force_implementation,model-consensus,medium,high,35,169,included,35,12,20260910,2026-09-12T18:18:44.770989+00:00
44917428,abc275_c,../raw/v2_2/44917428/buggy.py,../raw/v2_2/44917428/fixed.py,../raw/v2_2/44917428/tests.json,[13],brute_force_implementation,model-consensus,high,high,58,760,included,58,13,20260910,2026-09-12T18:18:44.770989+00:00
52796362,abc326_d,../raw/v2_2/52796362/buggy.py,../raw/v2_2/52796362/fixed.py,../raw/v2_2/52796362/tests.json,[139],brute_force_implementation,model-consensus,high,high,139,1371,included,139,14,20260910,2026-09-12T18:18:44.770989+00:00
46196763,abc322_b,../raw/v2_2/46196763/buggy.py,../raw/v2_2/46196763/fixed.py,../raw/v2_2/46196763/tests.json,[14],brute_force_implementation,model-consensus,medium,high,26,54,included,26,15,20260910,2026-09-12T18:18:44.770989+00:00
46169156,abc305_b,../raw/v2_2/46169156/buggy.py,../raw/v2_2/46169156/fixed.py,../raw/v2_2/46169156/tests.json,[21],brute_force_implementation,model-consensus,low,high,35,23,included,35,16,20260910,2026-09-12T18:18:44.770989+00:00
53927639,abc341_d,../raw/v2_2/53927639/buggy.py,../raw/v2_2/53927639/fixed.py,../raw/v2_2/53927639/tests.json,[14],binary_search,model-consensus,high,high,27,829,included,27,17,20260910,2026-09-12T18:18:44.770989+00:00
45923968,abc300_f,../raw/v2_2/45923968/buggy.py,../raw/v2_2/45923968/fixed.py,../raw/v2_2/45923968/tests.json,[14],binary_search,model-consensus,medium,high,26,1846,included,26,18,20260910,2026-09-12T18:18:44.770989+00:00
43171788,arc138_a,../raw/v2_2/43171788/buggy.py,../raw/v2_2/43171788/fixed.py,../raw/v2_2/43171788/tests.json,[25],binary_search,model-consensus,medium,high,25,837,included,25,19,20260910,2026-09-12T18:18:44.770989+00:00
54010856,arc173_a,../raw/v2_2/54010856/buggy.py,../raw/v2_2/54010856/fixed.py,../raw/v2_2/54010856/tests.json,[4],binary_search,model-consensus,high,high,34,1073,included,34,20,20260910,2026-09-12T18:18:44.770989+00:00
37067201,arc152_b,../raw/v2_2/37067201/buggy.py,../raw/v2_2/37067201/fixed.py,../raw/v2_2/37067201/tests.json,[4],binary_search,model-consensus,high,high,27,1628,included,27,21,20260910,2026-09-12T18:18:44.770989+00:00
45895898,abc309_c,../raw/v2_2/45895898/buggy.py,../raw/v2_2/45895898/fixed.py,../raw/v2_2/45895898/tests.json,[36],binary_search,model-consensus,high,high,51,348,included,51,22,20260910,2026-09-12T18:18:44.770989+00:00
41991921,abc304_g,../raw/v2_2/41991921/buggy.py,../raw/v2_2/41991921/fixed.py,../raw/v2_2/41991921/tests.json,[43],binary_search,model-consensus,high,high,48,3177,included,48,23,20260910,2026-09-12T18:18:44.770989+00:00
45971969,abc309_e,../raw/v2_2/45971969/buggy.py,../raw/v2_2/45971969/fixed.py,../raw/v2_2/45971969/tests.json,[36],graph_traversal_dfs_bfs,model-consensus,high,high,37,957,included,37,24,20260910,2026-09-12T18:18:44.770989+00:00
45325123,abc291_e,../raw/v2_2/45325123/buggy.py,../raw/v2_2/45325123/fixed.py,../raw/v2_2/45325123/tests.json,[15],graph_traversal_dfs_bfs,model-consensus,high,high,35,1069,included,35,25,20260910,2026-09-12T18:18:44.770989+00:00
52795863,abc238_e,../raw/v2_2/52795863/buggy.py,../raw/v2_2/52795863/fixed.py,../raw/v2_2/52795863/tests.json,[22],graph_traversal_dfs_bfs,model-consensus,high,high,25,1577,included,25,26,20260910,2026-09-12T18:18:44.770989+00:00
45545460,abc267_f,../raw/v2_2/45545460/buggy.py,../raw/v2_2/45545460/fixed.py,../raw/v2_2/45545460/tests.json,[49],graph_traversal_dfs_bfs,model-consensus,medium,high,80,1939,included,80,27,20260910,2026-09-12T18:18:44.770989+00:00
41991860,arc159_a,../raw/v2_2/41991860/buggy.py,../raw/v2_2/41991860/fixed.py,../raw/v2_2/41991860/tests.json,[23],graph_traversal_dfs_bfs,model-consensus,high,high,29,698,included,29,28,20260910,2026-09-12T18:18:44.770989+00:00
45463729,abc289_e,../raw/v2_2/45463729/buggy.py,../raw/v2_2/45463729/fixed.py,../raw/v2_2/45463729/tests.json,[20],graph_traversal_dfs_bfs,model-consensus,high,high,32,1318,included,32,29,20260910,2026-09-12T18:18:44.770989+00:00
54718266,abc308_d,../raw/v2_2/54718266/buggy.py,../raw/v2_2/54718266/fixed.py,../raw/v2_2/54718266/tests.json,[27],graph_traversal_dfs_bfs,model-consensus,high,high,30,619,included,30,30,20260910,2026-09-12T18:18:44.770989+00:00
