program_id,task_id,diff_hunks,changed_buggy_lines,decision,faulty_lines,exclusion_reason,justification,timestamp
40522843,abc225_h,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45483175,abc226_b,1,[23],include,[23],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45711710,abc226_c,1,[38],include,[38],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53188054,abc226_d,1,[16],include,[16],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52234913,abc226_e,2,"[23, 25]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53053125,abc226_e,1,[207],include,[207],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53676492,abc226_e,1,[30],include,[30],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53796243,abc226_e,1,[81],include,[81],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
48239634,abc226_g,1,[33],include,[33],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
48936036,abc226_g,1,[44],include,[44],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52807136,abc226_g,1,[39],include,[39],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44996770,abc229_a,1,[26],include,[26],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45424479,abc229_d,1,[19],include,[19],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44646979,abc229_e,1,[4],include,[4],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46038453,abc229_f,1,[19],include,[19],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46215584,abc230_b,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
54240175,abc230_c,1,[28],include,[28],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46047126,abc230_d,1,[24],include,[24],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46232718,abc230_d,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
27770752,abc230_g,1,[76],include,[76],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44874195,abc232_c,2,[],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44881913,abc232_c,2,[],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44805380,abc232_d,1,[22],include,[22],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45266728,abc232_d,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45267327,abc232_d,1,[24],include,[24],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45343318,abc232_d,1,[29],include,[29],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45499422,abc232_d,1,[14],include,[14],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44929490,abc232_e,1,[2],include,[2],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45459245,abc232_e,1,[18],include,[18],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45574605,abc232_e,1,[32],include,[32],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46187377,abc232_e,1,[8],include,[8],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28189928,abc232_g,1,[5],include,[5],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28190550,abc232_g,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28970603,abc232_g,1,[15],include,[15],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28235852,abc232_h,1,[25],include,[25],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
50214757,abc233_f,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
38349532,abc233_g,1,[33],include,[33],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
29975845,abc233_h,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44313828,abc233_h,1,[222],include,[222],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46688976,abc233_h,1,[14],include,[14],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53067892,abc233_h,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45477719,abc234_e,1,[13],include,[13],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45484479,abc234_e,1,[33],include,[33],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53824155,abc234_f,1,[36],include,[36],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
54296996,abc234_f,1,[28],include,[28],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
43173883,abc234_g,2,[47],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44415594,abc235_d,1,[28],include,[28],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45465231,abc235_d,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44788391,abc235_e,2,"[88, 102]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45321024,abc235_e,1,"[105, 106]",exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28570313,abc235_g,2,[136],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28594583,abc235_g,1,[58],include,[58],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28640040,abc235_g,1,[17],include,[17],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30010913,abc235_g,2,[30],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
43758724,abc235_g,1,[26],include,[26],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
48493148,abc235_g,1,[45],include,[45],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
29171105,abc235_h,1,[184],include,[184],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
54275288,abc236_d,2,[32],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45576293,abc236_e,1,"[6, 7]",exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28766467,abc236_g,2,[11],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30741132,abc236_g,1,[31],include,[31],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
55003330,abc236_g,1,[17],include,[17],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28807713,abc236_h,1,[44],include,[44],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45275344,abc237_c,1,[20],include,[20],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45542474,abc237_c,1,[29],include,[29],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45711395,abc237_c,1,[29],include,[29],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45967024,abc237_c,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46026874,abc237_c,1,[17],include,[17],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
54010383,abc237_d,2,[36],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
35962547,abc237_f,1,[136],include,[136],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
29196395,abc237_h,1,"[51, 52]",exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45053944,abc238_d,1,[26],include,[26],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45717530,abc238_d,1,[21],include,[21],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52795863,abc238_e,1,[22],include,[22],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30171666,abc238_f,1,[54],include,[54],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
39396735,abc238_f,1,[17],include,[17],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
41446414,abc238_f,1,[36],include,[36],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
48523335,abc238_f,1,[116],include,[116],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44443541,abc238_g,1,[33],include,[33],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44818357,abc239_c,1,[18],include,[18],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52953499,abc239_d,1,[12],include,[12],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45522067,abc239_e,1,[141],include,[141],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45950802,abc239_g,1,[20],include,[20],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45982558,abc240_e,1,[17],include,[17],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
35075785,abc240_g,1,[31],include,[31],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45284602,abc241_d,1,[152],include,[152],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45777353,abc241_d,1,[154],include,[154],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45806316,abc241_d,1,[31],include,[31],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45018675,abc241_e,1,[26],include,[26],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45450212,abc241_e,1,[43],include,[43],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46162583,abc241_e,1,[34],include,[34],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
41657280,abc241_f,1,[21],include,[21],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46189922,abc241_g,1,[84],include,[84],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45535167,abc242_e,1,[33],include,[33],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52939949,abc242_g,1,[7],include,[7],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44922035,abc243_c,1,[26],include,[26],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45235100,abc243_c,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44607569,abc243_d,1,[23],include,[23],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45981948,abc243_d,1,[20],include,[20],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49785483,abc243_e,1,[29],include,[29],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52524531,abc243_e,1,[155],include,[155],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
40101065,abc243_f,1,[34],include,[34],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30174663,abc243_h,1,[171],include,[171],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30771376,abc243_h,2,[25],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45713633,abc244_b,1,[9],include,[9],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44593613,abc244_d,1,[72],include,[72],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
32985131,abc244_g,1,[55],include,[55],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52210355,abc245_d,1,[25],include,[25],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45811431,abc245_f,1,[12],include,[12],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49870441,abc245_g,2,"[1, 39]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
51453180,abc245_g,1,[37],include,[37],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30480849,abc245_h,1,[91],include,[91],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30541714,abc245_h,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45450422,abc246_d,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45753152,abc246_d,1,[12],include,[12],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45780372,abc246_d,1,[12],include,[12],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45083106,abc246_e,1,[18],include,[18],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45269631,abc246_e,1,[30],include,[30],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45553928,abc246_e,1,[31],include,[31],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45962991,abc246_e,2,[25],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
31385030,abc246_g,1,[59],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
32131546,abc246_g,1,[43],include,[43],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
33284569,abc246_g,1,[25],include,[25],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
41873287,abc246_g,2,"[24, 46]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49874325,abc246_g,1,[29],include,[29],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45068335,abc247_b,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46187946,abc247_b,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46225194,abc247_b,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46165455,abc247_d,1,[57],include,[57],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45003873,abc247_e,1,[23],include,[23],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49035803,abc247_f,1,[41],include,[41],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52972964,abc247_f,1,[71],include,[71],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
55036523,abc247_f,1,[8],include,[8],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
39496981,abc247_g,1,[100],include,[100],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30891102,abc247_h,1,[149],include,[149],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
